name,version,type,purl,licenses
"nodejs","20.15.1-r0","library","pkg:apk/alpine/nodejs@20.15.1-r0?arch=x86_64&distro=alpine-3.20.3","MIT"
"nopt","5.0.0","library","pkg:npm/nopt@5.0.0","ISC"
"npmlog","5.0.1","library","pkg:npm/npmlog@5.0.1","ISC"
"nw-pre-gyp-module-test","0.0.1","library","pkg:npm/nw-pre-gyp-module-test@0.0.1",""
"object-assign","4.1.1","library","pkg:npm/object-assign@4.1.1","MIT"
"object-hash","3.0.0","library","pkg:npm/object-hash@3.0.0","MIT"
"on-exit-leak-free","2.1.0","library","pkg:npm/on-exit-leak-free@2.1.0","MIT"
"on-finished","2.4.1","library","pkg:npm/on-finished@2.4.1","MIT"
"once","1.4.0","library","pkg:npm/once@1.4.0","ISC"
"once","1.4.0","library","pkg:npm/once@1.4.0","ISC"
"p-limit","3.1.0","library","pkg:npm/p-limit@3.1.0","MIT"
"parse-duration","1.0.2","library","pkg:npm/parse-duration@1.0.2","MIT"
"parse-ms","2.1.0","library","pkg:npm/parse-ms@2.1.0","MIT"
"path-is-absolute","1.0.1","library","pkg:npm/path-is-absolute@1.0.1","MIT"
"path-is-absolute","1.0.1","library","pkg:npm/path-is-absolute@1.0.1","MIT"
"path-parse","1.0.7","library","pkg:npm/path-parse@1.0.7","MIT"
"paymentservice","0.0.1","library","pkg:npm/paymentservice@0.0.1","ISC"
"pino","9.6.0","library","pkg:npm/pino@9.6.0","MIT"
"pino-abstract-transport","2.0.0","library","pkg:npm/pino-abstract-transport@2.0.0","MIT"
"pino-std-serializers","7.0.0","library","pkg:npm/pino-std-serializers@7.0.0","MIT"
"pprof","4.0.0","library","pkg:npm/pprof@4.0.0","Apache-2.0"
"pretty-ms","7.0.1","library","pkg:npm/pretty-ms@7.0.1","MIT"
"process-warning","4.0.0","library","pkg:npm/process-warning@4.0.0","MIT"
"proto3-json-serializer","2.0.2","library","pkg:npm/proto3-json-serializer@2.0.2","Apache-2.0"
"protobufjs","6.11.4","library","pkg:npm/protobufjs@6.11.4","BSD-3-Clause"
"protobufjs","7.2.5","library","pkg:npm/protobufjs@7.2.5","BSD-3-Clause"
"protobufjs","7.4.0","library","pkg:npm/protobufjs@7.4.0","BSD-3-Clause"
"pump","3.0.0","library","pkg:npm/pump@3.0.0","MIT"
"pumpify","2.0.1","library","pkg:npm/pumpify@2.0.1","MIT"
"punycode","2.3.1","library","pkg:npm/punycode@2.3.1","MIT"
"quick-format-unescaped","4.0.4","library","pkg:npm/quick-format-unescaped@4.0.4","MIT"
"readable-stream","3.6.2","library","pkg:npm/readable-stream@3.6.2","MIT"
"real-require","0.2.0","library","pkg:npm/real-require@0.2.0","MIT"
"require-directory","2.1.1","library","pkg:npm/require-directory@2.1.1","MIT"
"require-in-the-middle","7.2.0","library","pkg:npm/require-in-the-middle@7.2.0","MIT"
"requizzle","0.2.3","library","pkg:npm/requizzle@0.2.3","MIT"
"resolve","1.22.4","library","pkg:npm/resolve@1.22.4","MIT"
"retry-request","7.0.2","library","pkg:npm/retry-request@7.0.2","MIT"
"rimraf","3.0.2","library","pkg:npm/rimraf@3.0.2","ISC"
"rimraf","3.0.2","library","pkg:npm/rimraf@3.0.2","ISC"
"safe-buffer","5.2.1","library","pkg:npm/safe-buffer@5.2.1","MIT"
"safe-stable-stringify","2.4.1","library","pkg:npm/safe-stable-stringify@2.4.1","MIT"
"scanelf","1.3.7-r2","library","pkg:apk/alpine/scanelf@1.3.7-r2?arch=x86_64&distro=alpine-3.20.3&upstream=pax-utils","GPL-2.0-only"
"semver","6.3.1","library","pkg:npm/semver@6.3.1","ISC"
"semver","7.5.4","library","pkg:npm/semver@7.5.4","ISC"
"set-blocking","2.0.0","library","pkg:npm/set-blocking@2.0.0","ISC"
"shimmer","1.2.1","library","pkg:npm/shimmer@1.2.1","BSD-2-Clause"
"signal-exit","3.0.7","library","pkg:npm/signal-exit@3.0.7","ISC"
"simple-card-validator","1.1.0","library","pkg:npm/simple-card-validator@1.1.0","MIT"
"sonic-boom","4.0.1","library","pkg:npm/sonic-boom@4.0.1","MIT"
"source-map","0.6.1","library","pkg:npm/source-map@0.6.1","BSD-3-Clause"
"source-map","0.8.0-beta.0","library","pkg:npm/source-map@0.8.0-beta.0","BSD-3-Clause"
"split","1.0.1","library","pkg:npm/split@1.0.1","MIT"
"split2","4.1.0","library","pkg:npm/split2@4.1.0","ISC"
"ssl_client","1.36.1-r29","library","pkg:apk/alpine/ssl_client@1.36.1-r29?arch=x86_64&distro=alpine-3.20.3&upstream=busybox","GPL-2.0-only"
"stream-events","1.0.5","library","pkg:npm/stream-events@1.0.5","MIT"
"stream-shift","1.0.1","library","pkg:npm/stream-shift@1.0.1","MIT"
"string-width","4.2.3","library","pkg:npm/string-width@4.2.3","MIT"
"string_decoder","1.3.0","library","pkg:npm/string_decoder@1.3.0","MIT"
"strip-ansi","6.0.1","library","pkg:npm/strip-ansi@6.0.1","MIT"
"strip-json-comments","3.1.1","library","pkg:npm/strip-json-comments@3.1.1","MIT"
"stubs","3.0.0","library","pkg:npm/stubs@3.0.0","MIT"
"supports-preserve-symlinks-flag","1.0.0","library","pkg:npm/supports-preserve-symlinks-flag@1.0.0","MIT"
"taffydb","2.6.2","library","pkg:npm/taffydb@2.6.2",""
"tar","6.1.12","library","pkg:npm/tar@6.1.12","ISC"
"teeny-request","9.0.0","library","pkg:npm/teeny-request@9.0.0","Apache-2.0"
"thread-stream","3.0.1","library","pkg:npm/thread-stream@3.0.1","MIT"
"through","2.3.8","library","pkg:npm/through@2.3.8","MIT"
"tmp","0.2.1","library","pkg:npm/tmp@0.2.1","MIT"
"tr46","0.0.3","library","pkg:npm/tr46@0.0.3","MIT"
"tr46","1.0.1","library","pkg:npm/tr46@1.0.1","MIT"
"transport","0.0.1","library","pkg:npm/transport@0.0.1",""
"uc.micro","1.0.6","library","pkg:npm/uc.micro@1.0.6","MIT"
"underscore","1.13.4","library","pkg:npm/underscore@1.13.4","MIT"
"util-deprecate","1.0.2","library","pkg:npm/util-deprecate@1.0.2","MIT"
"uuid","11.1.0","library","pkg:npm/uuid@11.1.0","MIT"
"uuid","8.3.2","library","pkg:npm/uuid@8.3.2","MIT"
"uuid","9.0.1","library","pkg:npm/uuid@9.0.1","MIT"
"uuid","9.0.1","library","pkg:npm/uuid@9.0.1","MIT"
"uuid","9.0.1","library","pkg:npm/uuid@9.0.1","MIT"
"uuid","9.0.1","library","pkg:npm/uuid@9.0.1","MIT"
"webidl-conversions","3.0.1","library","pkg:npm/webidl-conversions@3.0.1","BSD-2-Clause"
"webidl-conversions","4.0.2","library","pkg:npm/webidl-conversions@4.0.2","BSD-2-Clause"
"whatwg-url","5.0.0","library","pkg:npm/whatwg-url@5.0.0","MIT"
"whatwg-url","7.1.0","library","pkg:npm/whatwg-url@7.1.0","MIT"
"wide-align","1.1.5","library","pkg:npm/wide-align@1.1.5","ISC"
"wrap-ansi","7.0.0","library","pkg:npm/wrap-ansi@7.0.0","MIT"
"wrappy","1.0.2","library","pkg:npm/wrappy@1.0.2","ISC"
"wrappy","1.0.2","library","pkg:npm/wrappy@1.0.2","ISC"
"xmlcreate","2.0.4","library","pkg:npm/xmlcreate@2.0.4","Apache-2.0"
"y18n","5.0.8","library","pkg:npm/y18n@5.0.8","ISC"
"yallist","4.0.0","library","pkg:npm/yallist@4.0.0","ISC"
"yargs","16.2.0","library","pkg:npm/yargs@16.2.0","MIT"
"yargs","17.7.2","library","pkg:npm/yargs@17.7.2","MIT"
"yargs-parser","20.2.9","library","pkg:npm/yargs-parser@20.2.9","ISC"
"yargs-parser","21.1.1","library","pkg:npm/yargs-parser@21.1.1","ISC"
"yocto-queue","0.1.0","library","pkg:npm/yocto-queue@0.1.0","MIT"
"zlib","1.3.1-r1","library","pkg:apk/alpine/zlib@1.3.1-r1?arch=x86_64&distro=alpine-3.20.3","Zlib"
"alpine","3.20.3","operating-system","",""
